mine_id,lat,lon
100009,33.589253615545,-86.76522528753
100011,33.156325844828,-86.297580617235
100013,34.337063980797,-86.369512295172
100021,34.778635722713,-86.626515513396
100037,33.237166633504,-86.35187867204
100039,34.620146664026,-87.075035921252
100047,33.945233992968,-85.927210159385
100050,33.142722916893,-86.759524940387
100052,33.523164879907,-86.852901201532
100130,34.623560641307,-86.088422598051
100526,33.316776650897,-86.8269471369
100853,34.338742248835,-86.888963814013
101552,33.102827852479,-86.812990540991
102013,34.451449325831,-87.381527118655
102014,34.726194329524,-88.116901913126
102140,32.936633626413,-85.975937379696
102523,34.44227248574,-86.25804367447
102660,34.778759733227,-86.643087342286
102743,34.194686033049,-86.480499883586
102871,34.583893229665,-87.068975497936
102956,33.558421430896,-86.040613300048
102985,33.160846901911,-86.308129551054
103068,33.214627531686,-86.813788585569
103076,33.166442030172,-86.756076076641
103083,32.585109656705,-85.334330213252
103087,33.133107659071,-87.286797211076
103100,34.336255068561,-86.989206078836
103175,33.222992459008,-86.806695220216
103176,34.889917067876,-87.030228455179
103199,34.193147462224,-85.921299190168
103226,33.524769126837,-86.891580792088
103234,33.886171947821,-86.323314591115
103276,31.033736857773,-86.229879631969
103300,34.701615993573,-86.388543310601
103318,34.462295409717,-86.355011533578
103347,32.734541166116,-86.269164481512
103356,34.558400053054,-86.577296074074
103405,33.091232336234,-86.766454317245
103413,34.690573583567,-86.954551465445
103440,34.132180756684,-86.253360605821
103454,33.787833687263,-86.644371081071
103506,34.744700893117,-86.85946552556
103518,34.694033828938,-86.36086333824
103539,33.021141326551,-86.920376874145
103542,34.670731338911,-86.59710734346
103622,34.988841044767,-85.633877938503
103628,34.945930722841,-85.768590483753
202194,33.460902360324,-111.517509474712
202498,33.406813850045,-110.856288771521
202614,33.288343272096,-111.120676181142
202678,34.25537559955,-111.258587108053
202698,35.184734989123,-113.791175360433
202921,33.288449802745,-111.120664967383
202930,32.102166565191,-109.426081950619
203091,33.4269470564,-111.977375588227
300011,36.124134720159,-91.262149770064
300050,35.794025551552,-91.720024117993
300098,34.674879354984,-92.265214914173
300542,34.694568615648,-92.292540056839
300610,36.297077863497,-92.332662134795
300791,35.095619496499,-92.443015832399
301232,36.352331863248,-93.515165668952
301373,35.510820967105,-92.222071932271
301583,36.226430641024,-94.180674690405
301614,34.344412673802,-94.342342616151
301640,36.224244362934,-94.075111427919
301720,35.835245363039,-91.336394222599
301779,36.244072082364,-91.568988640808
301801,35.501951132556,-92.009622006463
301818,36.301562697732,-90.981632260963
301858,34.073441954817,-94.449616307208
301872,36.183176697058,-94.050888905504
301893,34.568121351493,-93.009320918995
301899,36.114646620406,-94.146984592452
301905,35.9435159515,-94.001187816898
301921,36.097489694172,-95.851112019996
301933,35.365932424535,-91.862974424091
301936,36.4652343529,-93.754780356575
301940,36.327331894653,-92.05578192125
301941,34.688485350636,-92.297855136171
301945,35.44227389965,-92.538103631723
301949,34.568121351493,-93.009320918995
301960,35.408589705153,-92.04443362141
301964,34.782106916394,-92.466465152048
301966,36.08445828354,-94.267795413503
301990,36.412603144526,-92.930926439453
301995,34.543479364268,-93.258412059022
302012,36.435846066862,-94.381698965618
302015,36.361264911821,-93.684395821663
302047,36.350474641634,-94.369380718485
302061,36.114646620406,-94.146984592452
302076,35.943036910001,-94.004126331118
302082,34.533211611674,-93.678680691591
302091,36.058595260895,-91.890325123132
400099,35.673803468648,-120.975784719965
400107,37.035713235395,-122.094293339875
400111,36.736809501189,-121.369238560493
400133,32.764279893125,-116.888797093494
400167,34.383795539347,-116.94457819919
400175,36.96223339563,-122.078551633289
402377,33.824334905201,-117.501989477636
404031,38.690558134562,-120.763446022091
404680,34.0184082207,-117.46233761062
404843,32.903846606577,-116.939477304986
405229,34.485497907513,-119.301138190486
405434,33.796923698116,-117.500627358174
405450,33.783535440707,-117.464504253808
405503,38.904459535252,-121.013373627998
405554,34.0184082207,-117.46233761062
405714,37.729926729549,-121.124604564156
500012,38.542028423182,-106.314429732972
500864,39.637275163813,-105.193391171469
502798,38.533125195859,-105.993290793498
503970,38.504926093761,-107.027084242461
504483,39.828659666788,-104.939061523032
505140,40.730205178051,-105.171414177749
600001,42.02566536429,-73.291900047233
600006,41.990558386677,-73.352321787446
600019,42.026473773051,-73.320984010045
600295,41.501100739079,-73.220721348401
600631,41.875056451665,-73.079002277533
600639,41.770743678923,-72.559910963434
600681,41.422675593234,-73.108773076979
600714,41.962828362457,-73.049383322049
600726,41.50116116234,-72.298654538726
600854,41.839747482548,-73.27549908256
800001,29.857512350663,-82.555386183949
800008,30.148666224542,-83.953110250522
800017,28.960544828625,-82.630944757674
800024,28.590931709566,-82.43424904027
800026,28.636680032306,-82.425959477175
800027,30.357160107652,-81.651517287775
800075,28.602471132618,-82.175752090585
800078,26.493229900735,-81.745842539435
800086,30.658263480734,-85.162962042616
800088,29.95550653575,-82.915298401061
800089,30.141081054427,-83.879233215732
800335,25.796817176015,-80.392451107373
800526,26.21515615815,-81.616697352327
800545,28.816989381957,-82.487635666981
800729,28.395054419858,-82.664335922355
800750,28.649979394004,-82.007799287573
800760,28.86864654069,-82.504677127566
800761,29.665724821646,-82.557193963186
800776,28.704902867956,-82.10431966217
800926,25.518645816329,-80.363854587391
800931,25.876971995659,-80.373703194137
800959,30.801112693109,-85.260552873687
800995,29.95240650496,-82.848478930897
801015,25.680704156463,-80.479626227664
801024,25.942412412876,-80.428507491777
801029,29.952510659897,-82.882756599792
801043,28.439897778987,-81.373469762137
801056,28.97910961483,-82.053641946993
801058,25.942018371698,-80.395633129185
801078,29.230632038439,-82.168900456352
801083,30.148666224542,-83.953110250522
801121,29.319023462779,-82.195968363493
801128,29.304567820542,-82.151626314136
801139,26.97678619976,-81.760538424613
801160,26.68546077393,-80.367754870384
801165,30.703068092022,-85.591303421768
801173,29.096862853959,-82.646234075641
801189,26.360965259962,-80.247027821925
801198,26.360904178009,-81.738780968216
801202,29.266597268038,-82.168113076598
801203,26.471924348934,-81.709169069002
801210,29.08255544072,-82.136141387635
801212,30.875959675305,-85.349820690732
801229,29.135593868,-82.212105206924
801231,29.187237431393,-82.373202471328
801239,28.037829075961,-81.776169774685
801250,26.786776077566,-81.941814238281
801255,29.178686518998,-82.35147446463
801264,28.636680032306,-82.425959477175
801267,30.63737038598,-85.165982089638
801279,30.626360600945,-85.153896405278
801282,28.576479774742,-81.986493234859
801284,28.236832771315,-82.095596389617
801286,27.51516059535,-80.752988300974
801290,30.23667180049,-81.594788353717
801295,28.385910483385,-80.74375680456
801296,29.289473163834,-82.172560389308
801303,28.407732492071,-80.763830686408
801309,29.252041727741,-82.151939972396
801322,30.329628684076,-82.971137594247
801326,26.130703189246,-81.522729603863
801330,24.702502609993,-81.331170014495
801337,26.798957983481,-81.774756303775
801361,30.803967537679,-85.281245664971
801386,26.919413247048,-80.6132284012
801387,26.109025802515,-81.71179950473
801390,29.376884188994,-82.921857333974
801402,28.390648742711,-82.488857720497
801414,30.364979348459,-81.631016044441
801433,28.394775839921,-82.487227734058
801447,28.483551116485,-80.782241693121
801463,29.366840413969,-82.184485945421
801467,25.557246872787,-80.526944006907
900008,34.838160873793,-84.920687749476
900015,32.988417145294,-83.737836672676
900030,34.425093760413,-84.331709725637
900033,33.956015237321,-83.342436385889
900037,33.783395034756,-84.433822562637
900038,32.921568149678,-83.529550712839
900047,34.551515822763,-84.510401951346
900051,34.5616125038,-83.36556101156
900054,34.972018125549,-83.362398104147
900063,33.722388946179,-84.107898274711
900067,34.02128114972,-84.589720247886
900068,33.771596606366,-84.668428196197
900069,33.604204515812,-84.499911020398
900070,33.932763597185,-84.153845887172
900071,33.54015602763,-84.209366292112
900072,32.586403056696,-84.944772677119
900074,32.908679367406,-83.488673486448
900087,34.33576757624,-83.770689380194
900305,34.962844375586,-85.306031388486
900317,34.741737683793,-85.334397441831
900436,34.024062731533,-83.823652467653
900487,32.993804809638,-84.999655789688
900488,33.216162897135,-84.36763589623
900536,33.447591613376,-84.6916729045
900580,33.388740526904,-82.641192658529
900593,33.699714190412,-84.075740276803
900594,33.890078865279,-83.896441051437
900690,34.536847033117,-83.9381624311
900693,34.575662138581,-83.551530691625
900721,33.49604918467,-84.578973636962
900736,33.670675155556,-84.925206853903
900802,33.931177829297,-84.168875609071
900804,34.713092356079,-84.974611344116
900810,34.665777207074,-84.934320769149
900863,31.661910873854,-84.272571769973
900907,33.525118864015,-82.257874390456
900920,34.783079625369,-84.965148193019
900923,34.900449003961,-83.712073835998
900927,34.744064416386,-84.412215286362
900958,34.329466007826,-83.51339178218
900964,32.586403056696,-84.944772677119
901026,34.368706565175,-84.900594256751
901033,33.253215130602,-82.907725553598
901035,34.074491838899,-84.165002703779
901038,34.595782063699,-84.511564159841
901039,34.940184751792,-85.105114005257
901046,34.913287238968,-83.738359453837
901054,34.773688047479,-84.750597711888
901079,34.219532391914,-84.737847340597
901083,33.517806356001,-82.235648927319
901097,34.167418456662,-83.635354550559
901098,34.589182575588,-83.705735164359
901101,34.955017043226,-84.748191871087
901102,33.608833883872,-84.411719236599
901105,34.477680397135,-83.94274535218
901106,34.143208829899,-83.643393220134
901107,33.853995255049,-84.928286085543
901112,34.292429978486,-84.265229433707
901114,33.541256549157,-83.076018737575
901134,33.517806356001,-82.235648927319
901135,32.593188753999,-84.945021455751
901139,32.645338483867,-84.511405633208
901144,34.174903094475,-85.231930559413
901151,33.614885365301,-84.444389818044
901152,33.825766387396,-84.932966457568
901163,33.939084748381,-82.986996764109
901165,33.825766387396,-84.932966457568
901169,33.73896407388,-84.094491837956
901175,33.80074732491,-83.53092050005
901181,34.108875201503,-82.906198463055
901182,34.073037710556,-82.950891245642
901209,33.526598194145,-82.26267828708
901210,33.291981981706,-82.935838107727
901225,34.073037710556,-82.950891245642
901228,34.595782063699,-84.511564159841
901253,33.951147687078,-82.997816447007
901260,34.143208829899,-83.643393220134
901261,34.130157369221,-82.864181626909
901263,33.159311321753,-84.110758661469
901264,34.167418456662,-83.635354550559
1001357,42.341910937108,-111.716723598571
1001358,42.341910937108,-111.716723598571
1002277,43.851110868078,-113.441221055092
1002355,43.851110868078,-113.441221055092
1002356,42.93154526179,-114.628021155265
1002362,43.959196052652,-116.426238085262
1100004,37.368356384669,-89.249931408844
1100009,37.44057723785,-88.471228049378
1100010,42.217993062083,-88.90051178998
1100012,42.276747718,-89.568829466113
1100019,39.893342184451,-91.405230085793
1100024,39.329800760396,-89.288952345043
1100025,41.480671615238,-88.433638531991
1100027,39.51551142642,-88.10571741781
1100030,40.788508428958,-88.603446653512
1100032,40.421421991372,-91.024535557978
1100034,41.44245086189,-90.557571952154
1100038,38.461834000058,-90.186747025668
1100039,38.506090460474,-90.203346503708
1100048,42.390188125712,-89.809178853235
1100052,40.004653882347,-89.711663641294
1100055,38.543435060491,-90.169542957236
1100061,41.99614554474,-88.31609421066
1100068,41.805437193382,-87.847736733172
1100070,41.64037742331,-88.080371050475
1100073,40.378739997502,-91.35467658651
1100081,39.083759153822,-90.492609581583
1100094,41.949824813882,-88.647181669114
1100096,42.159926215969,-88.900846055441
1100102,40.786961572147,-88.622448522792
1100103,38.998633342189,-90.231845352488
1100111,39.157146844467,-90.561110779632
1100116,40.429870402641,-90.840732918384
1100122,38.906228700351,-90.125577061854
1100124,39.809614216983,-90.65378832303
1100131,41.496720827106,-90.314201512421
1100132,39.647718965584,-90.620178564085
1100134,41.536967907677,-90.276532680862
1100135,41.449901365772,-90.567103873435
1100136,40.731980242476,-90.453663268572
1100149,39.335733067023,-89.289005210039
1100157,41.832274170241,-89.075088649089
1100158,42.014265120823,-89.311621201916
1100182,38.901683095957,-90.182850526398
1100183,41.780042498144,-89.463467639466
1100186,42.39005477469,-88.983739389266
1100189,40.129291579362,-89.466595705733
1100211,38.544303494726,-90.161491638162
1100213,38.098878558854,-90.109731580269
1100230,42.0403752768,-89.359089394427
1100232,42.276747718,-89.568829466113
1100236,42.276747718,-89.568829466113
1100298,42.199892911788,-88.998612877609
1100394,41.850715873463,-89.588986240044
1101023,37.495889794604,-88.17527338136
1101102,41.719865622265,-88.087213304053
1101106,42.049304128498,-88.709465257467
1101511,42.423193860846,-89.079514026262
1101546,41.673079177166,-88.05940094304
1101567,41.814041673856,-87.825713490785
1101575,42.276747718,-89.568829466113
1101657,39.79155425087,-88.252417331428
1101661,41.933210081677,-89.034340161095
1101835,38.288652501987,-90.120462752741
1101921,42.145058166897,-90.131033209523
1102017,41.68149528432,-88.166557691504
1102545,41.718737187302,-89.362742482938
1102627,39.893342184451,-91.405230085793
1102647,37.864392034735,-89.593142945654
1102744,42.32502129227,-89.656291401708
1102763,42.142954503833,-89.495586368232
1102814,41.805437193382,-87.847736733172
1102836,41.747829883018,-87.809342876145
1102864,41.470118309598,-89.062675013383
1102903,40.747214892121,-88.56424873794
1102914,41.238661499135,-87.877325345599
1102919,42.128234127169,-89.459591296806
1102938,41.250209850743,-87.90171908447
1102947,42.072937804287,-89.322676706316
1102963,42.389963100706,-88.983955936752
1102972,40.79007948938,-88.584246497069
1102978,41.48294816553,-88.099459368984
1102986,40.899213797791,-88.092242699483
1103011,42.274236849448,-88.941269778979
1103027,42.276747718,-89.568829466113
1103029,40.800571092465,-88.632658700285
1103051,40.869879304896,-86.836911439087
1103059,42.32502129227,-89.656291401708
1103079,42.162487182724,-89.056950484207
1103080,41.823794972233,-89.515406818655
1103083,40.421421991372,-91.024535557978
1103084,41.50052198051,-88.14434570274
1103090,42.499561481332,-90.108989632055
1103091,41.980367001561,-89.733862029422
1103094,42.263079977511,-89.150384805265
1103096,39.25607253958,-87.991428132918
1103100,39.399757372855,-89.23318266332
1103104,42.415874133531,-89.07942537608
1103108,42.274236849448,-88.941269778979
1103111,41.673079177166,-88.05940094304
1103123,42.012644910951,-88.246711339849
1103127,42.469229248341,-89.338884434298
1103128,42.406714748543,-90.415398402365
1103129,42.173060111908,-89.404932401033
1103130,40.786745678588,-88.576781120105
1103137,42.311111600809,-89.338589990794
1103139,42.189897361662,-88.920247637694
1103149,41.680602229007,-88.179908155664
1103153,41.490335436857,-88.113339201293
1103154,42.115974290405,-90.054466682239
1103158,40.935283249738,-88.701023479968
1103164,42.390188125712,-89.809178853235
1103165,42.31930739838,-89.096896118306
1103167,42.165689692126,-89.044896685159
1103168,41.81111995287,-87.834229006523
1103174,42.11014953052,-89.856776392772
1103177,42.498939875543,-90.641547103553
1103186,42.211703504166,-88.900500441034
1103188,42.06281694863,-89.698130238035
1103190,41.949824813882,-88.647181669114
1103191,37.880814851694,-88.932536823161
1103208,41.259748625486,-89.012621626395
1103211,42.23442890095,-90.047061620222
1103214,42.32502129227,-89.656291401708
1103218,37.495214235607,-88.198559591263
1103229,42.276747718,-89.568829466113
1103230,41.480622561848,-88.444767511546
1103233,40.786654174479,-88.582412193494
1103236,38.098878558854,-90.109731580269
1103246,41.395293720036,-88.343128678479
1103250,40.965225658894,-90.668750688612
1103252,42.32502129227,-89.656291401708
1103258,41.490335436857,-88.113339201293
1103259,41.395293720036,-88.343128678479
1103282,42.245211537675,-89.006281042157
1103285,42.165685302148,-89.045193090635
1103302,41.638099439105,-88.160147199809
1103317,42.42030059339,-89.964097494205
1200002,39.929565567205,-86.088634031532
1200004,38.300905389095,-85.740413493455
1200005,40.929345682912,-87.147130126438
1200007,39.011947262468,-85.618136357718
1200008,39.030468167082,-85.272003440304
1200010,39.176596240525,-86.628629097556
1200013,38.542998519829,-86.439336222588
1200017,38.246052965569,-86.153858794694
1200020,38.333586226256,-86.168257350903
1200022,39.909769220459,-84.821919603913
1200029,40.764270214183,-85.177205920482
1200037,40.280093928199,-85.016595959104
1200038,39.282852455038,-85.527157510981
1200046,38.603532647451,-86.117160789237
1200054,40.558910347424,-85.276563722205
1200067,38.167099922506,-86.13782769615
1200068,41.028952289701,-85.188914923808
1200071,40.65540174819,-85.101399706245
1200072,40.738415074708,-84.840314837338
1200073,39.169532745188,-85.790671489538
1200074,41.074252161699,-84.845435168927
1200081,38.7234871757,-86.423585748683
1200088,39.324122660773,-85.335011126046
1200100,40.284099716809,-85.167197594441
1200102,40.419476639029,-85.029497098072
1200107,38.69008778676,-85.659747856862
1200109,38.393202970933,-85.748611830193
1200115,39.423049328205,-85.630600360889
1200124,40.036360974492,-85.937685033859
1200136,40.955791562381,-86.884646879034
1200142,40.468891507381,-86.173203288636
1200194,40.85187614102,-86.877563609831
1200339,40.770245272314,-86.102305154409
1200354,40.031532394381,-85.725638801631
1200371,38.338948116463,-86.24143927992
1200442,41.005165468045,-85.237153611467
1200620,39.70957519757,-86.187244408109
1200839,38.344857233051,-86.417951586473
1201020,38.969140684675,-86.583354877773
1201150,39.70957519757,-86.187244408109
1201173,40.46496539972,-85.794144425997
1201391,38.364561211466,-85.723254373871
1201438,38.229392817304,-86.336483605204
1201661,39.468256770739,-85.225541597145
1201718,40.955809562196,-86.881206583505
