Mine ID,Mine Name,Commodity,Mine Status,Status Date,Type of Mine,Street,City,State,Zip Code,full_address,lat,lon,confidence,geocode_method
4104672,Hitt Canyon Quarry Mine,"Crushed, Broken Limestone NEC",Active,5/11/2007,Surface,4101 Stan Roberts Sr. Ave.,El Paso,Texas,79934,,31.988033,-106.453234,1.0,geoapify
4104925,Portable #1,"Crushed, Broken Limestone NEC",Intermittent,7/19/2022,Surface,14183 FM 1269,Fluvanna,Texas,79517,,32.95333185,-101.1479187,1.0,geoapify
4104922,Prime Materials LLC,"Crushed, Broken Limestone NEC",Abandoned,8/21/2018,Surface,799 FM 3445,Tilden,Texas,78072,,28.5352939,-98.4518392,1.0,geoapify
4104915,Fashing Pit,"Crushed, Broken Limestone NEC",Abandoned,3/22/2016,Surface,29954 FM 791,Falls City,Texas,78113,,28.84362,-98.175597,1.0,geoapify
4104900,Pipeline Quarry,"Crushed, Broken Granite",Active,2/13/2026,Surface,,El Paso,Texas,79928,,31.7601164,-106.4870404,1.0,geoapify
4104894,Heartland Aggregates Granite Shoals Pit,"Crushed, Broken Granite",Abandoned,11/22/2022,Surface,7320 W FM 1431,Granite Shoals,Texas,78654,,30.605285,-98.3607,1.0,geoapify
4104852,Corner Ranch,"Crushed, Broken Limestone NEC",Abandoned,6/13/2024,Surface,,Clyde,Texas,79510,,32.4059605,-99.4936912,1.0,geoapify
4104800,G158,"Crushed, Broken Limestone NEC",Intermittent,6/6/2025,Surface,,Garden City,Texas,79739,,31.8640373,-101.4813478,1.0,geoapify
4104790,Mills Crushed Stone,"Crushed, Broken Limestone NEC",Abandoned,7/1/2011,Surface,FM 2414,Evant,Texas,76525,,31.487174,-98.203231,1.0,geoapify
4104776,Mobil Crusher 1,"Crushed, Broken Limestone NEC",Abandoned,6/29/2023,Surface,FM 119,Sunray,Texas,79086,,36.03922233,-101.8288425,1.0,geoapify
4104755,Lueders TX Quarry,"Crushed, Broken Limestone NEC",Abandoned,5/9/2017,Surface,6728 CR 303,Lueders,Texas,79533,,32.697128,-99.612298,1.0,geoapify
4103481,Plant #31,"Crushed, Broken Limestone NEC",Abandoned,12/31/1991,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103477,Stacy Dam Project,"Crushed, Broken Limestone NEC",Abandoned,9/1/1989,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103458,AUSTIN PIT,"Crushed, Broken Limestone NEC",Abandoned,1/22/1997,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102964,Henson Pit,"Crushed, Broken Limestone NEC",Abandoned,6/1/1980,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103003,Old Western,"Crushed, Broken Limestone NEC",Abandoned,6/29/1983,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4103001,TERRELL PLANT,"Crushed, Broken Limestone NEC",Abandoned,7/7/2000,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102998,Oehler Pit,"Crushed, Broken Limestone NEC",Abandoned,8/25/1981,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102997,Crusher #2 Roving,"Crushed, Broken Limestone NEC",Abandoned,7/29/1991,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
4102995,Crossland Pit,"Crushed, Broken Limestone NEC",Abandoned,7/2/1984,Surface,,,Texas,,,31.2638905,-98.5456116,1.0,geoapify
